 
 
# section 'band' 
# charge_sum =   204.0000
# add 'fermi =       0.0033243798618889'
# point "1" =    0.1923  -0.0000   0.0000 at   0.000000
# point "2" =    0.1923  -0.0000   0.0538 at   0.053838
#
# add 'point_1 =  0.000000'
# add 'point_2 =  0.053838'
#
#
# add 'val_edge =      -0.3100860541240034 * eV'
# add 'cur_edge =       0.4187523179825324 * eV'
# add 'gap =       0.7288383721065358 * eV '
# add 'max_upper =      29.5514011099937974 * eV'
# add 'lower =     -18.3843421532681361 * eV'
# --- end preamble
# n_ev =  409

# i_en =    1
  0.000000      -1.3512136113472273 
  0.001099      -1.3512136113472277 
  0.002197      -1.3512136113472286 
  0.003296      -1.3512136113472277 
  0.004395      -1.3512136113472275 
  0.005494      -1.3512136113472288 
  0.006592      -1.3512136113472291 
  0.007691      -1.3512136113472246 
  0.008790      -1.3512136113472273 
  0.009889      -1.3512136113472242 
  0.010987      -1.3512136113472291 
  0.012086      -1.3512136113472273 
  0.013185      -1.3512136113472273 
  0.014283      -1.3512136113472260 
  0.015382      -1.3512136113472273 
  0.016481      -1.3512136113472260 
  0.017580      -1.3512136113472273 
  0.018678      -1.3512136113472260 
  0.019777      -1.3512136113472288 
  0.020876      -1.3512136113472286 
  0.021975      -1.3512136113472260 
  0.023073      -1.3512136113472286 
  0.024172      -1.3512136113472295 
  0.025271      -1.3512136113472291 
  0.026369      -1.3512136113472277 
  0.027468      -1.3512136113472260 
  0.028567      -1.3512136113472273 
  0.029666      -1.3512136113472273 
  0.030764      -1.3512136113472273 
  0.031863      -1.3512136113472255 
  0.032962      -1.3512136113472273 
  0.034061      -1.3512136113472273 
  0.035159      -1.3512136113472260 
  0.036258      -1.3512136113472260 
  0.037357      -1.3512136113472291 
  0.038455      -1.3512136113472273 
  0.039554      -1.3512136113472277 
  0.040653      -1.3512136113472291 
  0.041752      -1.3512136113472273 
  0.042850      -1.3512136113472255 
  0.043949      -1.3512136113472282 
  0.045048      -1.3512136113472277 
  0.046147      -1.3512136113472277 
  0.047245      -1.3512136113472295 
  0.048344      -1.3512136113472271 
  0.049443      -1.3512136113472277 
  0.050541      -1.3512136113472273 
  0.051640      -1.3512136113472260 
  0.052739      -1.3512136113472293 
  0.053838      -1.3512136113472277 
# i_en =    1

# i_en =    2
  0.000000      -1.3458454975093612 
  0.001099      -1.3458454975093594 
  0.002197      -1.3458454975093599 
  0.003296      -1.3458454975093599 
  0.004395      -1.3458454975093612 
  0.005494      -1.3458454975093617 
  0.006592      -1.3458454975093617 
  0.007691      -1.3458454975093563 
  0.008790      -1.3458454975093594 
  0.009889      -1.3458454975093563 
  0.010987      -1.3458454975093599 
  0.012086      -1.3458454975093590 
  0.013185      -1.3458454975093590 
  0.014283      -1.3458454975093568 
  0.015382      -1.3458454975093599 
  0.016481      -1.3458454975093594 
  0.017580      -1.3458454975093594 
  0.018678      -1.3458454975093599 
  0.019777      -1.3458454975093594 
  0.020876      -1.3458454975093594 
  0.021975      -1.3458454975093581 
  0.023073      -1.3458454975093617 
  0.024172      -1.3458454975093599 
  0.025271      -1.3458454975093599 
  0.026369      -1.3458454975093603 
  0.027468      -1.3458454975093581 
  0.028567      -1.3458454975093581 
  0.029666      -1.3458454975093577 
  0.030764      -1.3458454975093594 
  0.031863      -1.3458454975093572 
  0.032962      -1.3458454975093599 
  0.034061      -1.3458454975093581 
  0.035159      -1.3458454975093594 
  0.036258      -1.3458454975093590 
  0.037357      -1.3458454975093612 
  0.038455      -1.3458454975093599 
  0.039554      -1.3458454975093603 
  0.040653      -1.3458454975093617 
  0.041752      -1.3458454975093599 
  0.042850      -1.3458454975093563 
  0.043949      -1.3458454975093599 
  0.045048      -1.3458454975093614 
  0.046147      -1.3458454975093612 
  0.047245      -1.3458454975093612 
  0.048344      -1.3458454975093599 
  0.049443      -1.3458454975093612 
  0.050541      -1.3458454975093590 
  0.051640      -1.3458454975093579 
  0.052739      -1.3458454975093601 
  0.053838      -1.3458454975093599 
# i_en =    2

# i_en =    3
  0.000000      -1.3244049711244472 
  0.001099      -1.3244049711244477 
  0.002197      -1.3244049711244468 
  0.003296      -1.3244049711244481 
  0.004395      -1.3244049711244490 
  0.005494      -1.3244049711244472 
  0.006592      -1.3244049711244485 
  0.007691      -1.3244049711244463 
  0.008790      -1.3244049711244472 
  0.009889      -1.3244049711244472 
  0.010987      -1.3244049711244490 
  0.012086      -1.3244049711244490 
  0.013185      -1.3244049711244468 
  0.014283      -1.3244049711244472 
  0.015382      -1.3244049711244454 
  0.016481      -1.3244049711244441 
  0.017580      -1.3244049711244468 
  0.018678      -1.3244049711244454 
  0.019777      -1.3244049711244472 
  0.020876      -1.3244049711244472 
  0.021975      -1.3244049711244459 
  0.023073      -1.3244049711244490 
  0.024172      -1.3244049711244485 
  0.025271      -1.3244049711244468 
  0.026369      -1.3244049711244472 
  0.027468      -1.3244049711244472 
  0.028567      -1.3244049711244454 
  0.029666      -1.3244049711244454 
  0.030764      -1.3244049711244472 
  0.031863      -1.3244049711244468 
  0.032962      -1.3244049711244490 
  0.034061      -1.3244049711244454 
  0.035159      -1.3244049711244477 
  0.036258      -1.3244049711244483 
  0.037357      -1.3244049711244472 
  0.038455      -1.3244049711244439 
  0.039554      -1.3244049711244468 
  0.040653      -1.3244049711244468 
  0.041752      -1.3244049711244472 
  0.042850      -1.3244049711244468 
  0.043949      -1.3244049711244472 
  0.045048      -1.3244049711244485 
  0.046147      -1.3244049711244472 
  0.047245      -1.3244049711244468 
  0.048344      -1.3244049711244454 
